"TIME";"GEO";"WST_OPER";"UNIT";"Value";"Flag and Footnotes"
2015.0;"Austria";"Composting and digestion";"Kilograms per capita";"175";
2014.0;"Austria";"Composting and digestion";"Kilograms per capita";"175";
2013.0;"Austria";"Composting and digestion";"Kilograms per capita";"192";
2012.0;"Austria";"Composting and digestion";"Kilograms per capita";"196";
2011.0;"Austria";"Composting and digestion";"Kilograms per capita";"188";
2010.0;"Austria";"Composting and digestion";"Kilograms per capita";"182";
2009.0;"Austria";"Composting and digestion";"Kilograms per capita";"186";
2008.0;"Austria";"Composting and digestion";"Kilograms per capita";"202";
2007.0;"Austria";"Composting and digestion";"Kilograms per capita";"200";
2006.0;"Austria";"Composting and digestion";"Kilograms per capita";"201";
2005.0;"Austria";"Composting and digestion";"Kilograms per capita";"192";"e"
