"TIME";"GEO";"WST_OPER";"UNIT";"Value";"Flag and Footnotes"
2015.0;"Austria";"Landfill / disposal (D1-D7, D12)";"Kilograms per capita";"17";
2014.0;"Austria";"Landfill / disposal (D1-D7, D12)";"Kilograms per capita";"23";
2013.0;"Austria";"Landfill / disposal (D1-D7, D12)";"Kilograms per capita";"23";
2012.0;"Austria";"Landfill / disposal (D1-D7, D12)";"Kilograms per capita";"25";
2011.0;"Austria";"Landfill / disposal (D1-D7, D12)";"Kilograms per capita";"27";
2010.0;"Austria";"Landfill / disposal (D1-D7, D12)";"Kilograms per capita";"18";
2009.0;"Austria";"Landfill / disposal (D1-D7, D12)";"Kilograms per capita";"36";
2008.0;"Austria";"Landfill / disposal (D1-D7, D12)";"Kilograms per capita";"45";
2007.0;"Austria";"Landfill / disposal (D1-D7, D12)";"Kilograms per capita";"51";
2006.0;"Austria";"Landfill / disposal (D1-D7, D12)";"Kilograms per capita";"59";
2005.0;"Austria";"Landfill / disposal (D1-D7, D12)";"Kilograms per capita";"65";"e"
