"TIME";"GEO";"WST_OPER";"UNIT";"Value";"Flag and Footnotes"
2015.0;"Austria";"Material recycling";"Kilograms per capita";"144";
2014.0;"Austria";"Material recycling";"Kilograms per capita";"144";
2013.0;"Austria";"Material recycling";"Kilograms per capita";"142";
2012.0;"Austria";"Material recycling";"Kilograms per capita";"139";
2011.0;"Austria";"Material recycling";"Kilograms per capita";"137";
2010.0;"Austria";"Material recycling";"Kilograms per capita";"152";
2009.0;"Austria";"Material recycling";"Kilograms per capita";"179";
2008.0;"Austria";"Material recycling";"Kilograms per capita";"177";
2007.0;"Austria";"Material recycling";"Kilograms per capita";"159";
2006.0;"Austria";"Material recycling";"Kilograms per capita";"152";
2005.0;"Austria";"Material recycling";"Kilograms per capita";"143";
