"TIME";"GEO";"WST_OPER";"UNIT";"Value";"Flag and Footnotes"
2015.0;"Austria";"Waste generated";"Kilograms per capita";"560";
2014.0;"Austria";"Waste generated";"Kilograms per capita";"566";
2013.0;"Austria";"Waste generated";"Kilograms per capita";"578";
2012.0;"Austria";"Waste generated";"Kilograms per capita";"579";
2011.0;"Austria";"Waste generated";"Kilograms per capita";"573";
2010.0;"Austria";"Waste generated";"Kilograms per capita";"562";
2009.0;"Austria";"Waste generated";"Kilograms per capita";"590";
2008.0;"Austria";"Waste generated";"Kilograms per capita";"600";
2007.0;"Austria";"Waste generated";"Kilograms per capita";"597";
2006.0;"Austria";"Waste generated";"Kilograms per capita";"597";
2005.0;"Austria";"Waste generated";"Kilograms per capita";"575";
