"TIME";"GEO";"WST_OPER";"UNIT";"Value";"Flag and Footnotes"
2015.0;"Belgium";"Landfill / disposal (D1-D7, D12)";"Kilograms per capita";"4";
2014.0;"Belgium";"Landfill / disposal (D1-D7, D12)";"Kilograms per capita";"4";
2013.0;"Belgium";"Landfill / disposal (D1-D7, D12)";"Kilograms per capita";"4";
2012.0;"Belgium";"Landfill / disposal (D1-D7, D12)";"Kilograms per capita";"3";
2011.0;"Belgium";"Landfill / disposal (D1-D7, D12)";"Kilograms per capita";"4";
2010.0;"Belgium";"Landfill / disposal (D1-D7, D12)";"Kilograms per capita";"8";
2009.0;"Belgium";"Landfill / disposal (D1-D7, D12)";"Kilograms per capita";"15";
2008.0;"Belgium";"Landfill / disposal (D1-D7, D12)";"Kilograms per capita";"20";
2007.0;"Belgium";"Landfill / disposal (D1-D7, D12)";"Kilograms per capita";"47";
2006.0;"Belgium";"Landfill / disposal (D1-D7, D12)";"Kilograms per capita";"47";
2005.0;"Belgium";"Landfill / disposal (D1-D7, D12)";"Kilograms per capita";"56";
