"TIME";"GEO";"WST_OPER";"UNIT";"Value";"Flag and Footnotes"
2015.0;"Belgium";"Incineration / disposal (D10)";"Kilograms per capita";"75";
2014.0;"Belgium";"Incineration / disposal (D10)";"Kilograms per capita";"75";
2013.0;"Belgium";"Incineration / disposal (D10)";"Kilograms per capita";"64";
2012.0;"Belgium";"Incineration / disposal (D10)";"Kilograms per capita";"63";
2011.0;"Belgium";"Incineration / disposal (D10)";"Kilograms per capita";"63";
2010.0;"Belgium";"Incineration / disposal (D10)";"Kilograms per capita";"55";
2009.0;"Belgium";"Incineration / disposal (D10)";"Kilograms per capita";"52";
2008.0;"Belgium";"Incineration / disposal (D10)";"Kilograms per capita";"51";
2007.0;"Belgium";"Incineration / disposal (D10)";"Kilograms per capita";"5";
2006.0;"Belgium";"Incineration / disposal (D10)";"Kilograms per capita";"2";
2005.0;"Belgium";"Incineration / disposal (D10)";"Kilograms per capita";"11";
