"TIME";"GEO";"WST_OPER";"UNIT";"Value";"Flag and Footnotes"
2015.0;"Belgium";"Material recycling";"Kilograms per capita";"143";
2014.0;"Belgium";"Material recycling";"Kilograms per capita";"141";
2013.0;"Belgium";"Material recycling";"Kilograms per capita";"138";
2012.0;"Belgium";"Material recycling";"Kilograms per capita";"144";
2011.0;"Belgium";"Material recycling";"Kilograms per capita";"155";
2010.0;"Belgium";"Material recycling";"Kilograms per capita";"153";
2009.0;"Belgium";"Material recycling";"Kilograms per capita";"157";
2008.0;"Belgium";"Material recycling";"Kilograms per capita";"155";
2007.0;"Belgium";"Material recycling";"Kilograms per capita";"164";
2006.0;"Belgium";"Material recycling";"Kilograms per capita";"152";
2005.0;"Belgium";"Material recycling";"Kilograms per capita";"148";
