"TIME";"GEO";"WST_OPER";"UNIT";"Value";"Flag and Footnotes"
2015.0;"Belgium";"Waste generated";"Kilograms per capita";"418";
2014.0;"Belgium";"Waste generated";"Kilograms per capita";"427";
2013.0;"Belgium";"Waste generated";"Kilograms per capita";"437";
2012.0;"Belgium";"Waste generated";"Kilograms per capita";"447";
2011.0;"Belgium";"Waste generated";"Kilograms per capita";"456";
2010.0;"Belgium";"Waste generated";"Kilograms per capita";"456";
2009.0;"Belgium";"Waste generated";"Kilograms per capita";"467";
2008.0;"Belgium";"Waste generated";"Kilograms per capita";"479";
2007.0;"Belgium";"Waste generated";"Kilograms per capita";"493";
2006.0;"Belgium";"Waste generated";"Kilograms per capita";"485";
2005.0;"Belgium";"Waste generated";"Kilograms per capita";"482";
