"TIME";"GEO";"WST_OPER";"UNIT";"Value";"Flag and Footnotes"
2015.0;"Bulgaria";"Composting and digestion";"Kilograms per capita";"43";
2014.0;"Bulgaria";"Composting and digestion";"Kilograms per capita";"8";
2013.0;"Bulgaria";"Composting and digestion";"Kilograms per capita";"15";
2012.0;"Bulgaria";"Composting and digestion";"Kilograms per capita";"13";
2011.0;"Bulgaria";"Composting and digestion";"Kilograms per capita";"11";
2010.0;"Bulgaria";"Composting and digestion";"Kilograms per capita";"0";
2009.0;"Bulgaria";"Composting and digestion";"Kilograms per capita";"0";
2008.0;"Bulgaria";"Composting and digestion";"Kilograms per capita";"0";
2007.0;"Bulgaria";"Composting and digestion";"Kilograms per capita";"0";
2006.0;"Bulgaria";"Composting and digestion";"Kilograms per capita";"0";
2005.0;"Bulgaria";"Composting and digestion";"Kilograms per capita";"0";
