"TIME";"GEO";"WST_OPER";"UNIT";"Value";"Flag and Footnotes"
2015.0;"Bulgaria";"Landfill / disposal (D1-D7, D12)";"Kilograms per capita";"278";
2014.0;"Bulgaria";"Landfill / disposal (D1-D7, D12)";"Kilograms per capita";"307";
2013.0;"Bulgaria";"Landfill / disposal (D1-D7, D12)";"Kilograms per capita";"298";
2012.0;"Bulgaria";"Landfill / disposal (D1-D7, D12)";"Kilograms per capita";"318";
2011.0;"Bulgaria";"Landfill / disposal (D1-D7, D12)";"Kilograms per capita";"349";
2010.0;"Bulgaria";"Landfill / disposal (D1-D7, D12)";"Kilograms per capita";"411";
2009.0;"Bulgaria";"Landfill / disposal (D1-D7, D12)";"Kilograms per capita";"460";
2008.0;"Bulgaria";"Landfill / disposal (D1-D7, D12)";"Kilograms per capita";"448";
2007.0;"Bulgaria";"Landfill / disposal (D1-D7, D12)";"Kilograms per capita";"395";
2006.0;"Bulgaria";"Landfill / disposal (D1-D7, D12)";"Kilograms per capita";"362";
2005.0;"Bulgaria";"Landfill / disposal (D1-D7, D12)";"Kilograms per capita";"411";
