"TIME";"GEO";"WST_OPER";"UNIT";"Value";"Flag and Footnotes"
2015.0;"Bulgaria";"Material recycling";"Kilograms per capita";"80";
2014.0;"Bulgaria";"Material recycling";"Kilograms per capita";"94";
2013.0;"Bulgaria";"Material recycling";"Kilograms per capita";"108";
2012.0;"Bulgaria";"Material recycling";"Kilograms per capita";"103";
2011.0;"Bulgaria";"Material recycling";"Kilograms per capita";"122";
2010.0;"Bulgaria";"Material recycling";"Kilograms per capita";"136";
2009.0;"Bulgaria";"Material recycling";"Kilograms per capita";"119";"e"
2008.0;"Bulgaria";"Material recycling";"Kilograms per capita";"116";"e"
2007.0;"Bulgaria";"Material recycling";"Kilograms per capita";"114";"e"
2006.0;"Bulgaria";"Material recycling";"Kilograms per capita";"110";"e"
2005.0;"Bulgaria";"Material recycling";"Kilograms per capita";"107";"e"
