"TIME";"GEO";"WST_OPER";"UNIT";"Value";"Flag and Footnotes"
2015.0;"Bulgaria";"Waste generated";"Kilograms per capita";"419";
2014.0;"Bulgaria";"Waste generated";"Kilograms per capita";"442";
2013.0;"Bulgaria";"Waste generated";"Kilograms per capita";"432";
2012.0;"Bulgaria";"Waste generated";"Kilograms per capita";"460";
2011.0;"Bulgaria";"Waste generated";"Kilograms per capita";"508";
2010.0;"Bulgaria";"Waste generated";"Kilograms per capita";"554";
2009.0;"Bulgaria";"Waste generated";"Kilograms per capita";"598";
2008.0;"Bulgaria";"Waste generated";"Kilograms per capita";"599";
2007.0;"Bulgaria";"Waste generated";"Kilograms per capita";"553";
2006.0;"Bulgaria";"Waste generated";"Kilograms per capita";"577";
2005.0;"Bulgaria";"Waste generated";"Kilograms per capita";"588";
