"TIME","GEO","WST_OPER","UNIT","Value","Flag and Footnotes"
"2005","Austria","Composting and digestion","Kilograms per capita","192","e"
"2006","Austria","Composting and digestion","Kilograms per capita","201",""
"2007","Austria","Composting and digestion","Kilograms per capita","200",""
"2008","Austria","Composting and digestion","Kilograms per capita","202",""
"2009","Austria","Composting and digestion","Kilograms per capita","186",""
"2010","Austria","Composting and digestion","Kilograms per capita","182",""
"2011","Austria","Composting and digestion","Kilograms per capita","188",""
"2012","Austria","Composting and digestion","Kilograms per capita","196",""
"2013","Austria","Composting and digestion","Kilograms per capita","192",""
"2014","Austria","Composting and digestion","Kilograms per capita","175",""
"2015","Austria","Composting and digestion","Kilograms per capita","175",""
"2005","Bosnia and Herzegovina","Composting and digestion","Kilograms per capita",":",""
"2006","Bosnia and Herzegovina","Composting and digestion","Kilograms per capita",":",""
"2007","Bosnia and Herzegovina","Composting and digestion","Kilograms per capita",":",""
"2008","Bosnia and Herzegovina","Composting and digestion","Kilograms per capita","0",""
"2009","Bosnia and Herzegovina","Composting and digestion","Kilograms per capita","0",""
"2010","Bosnia and Herzegovina","Composting and digestion","Kilograms per capita","0",""
"2011","Bosnia and Herzegovina","Composting and digestion","Kilograms per capita","0",""
"2012","Bosnia and Herzegovina","Composting and digestion","Kilograms per capita","0",""
"2013","Bosnia and Herzegovina","Composting and digestion","Kilograms per capita","0",""
"2014","Bosnia and Herzegovina","Composting and digestion","Kilograms per capita",":",""
"2015","Bosnia and Herzegovina","Composting and digestion","Kilograms per capita",":",""
"2005","Belgium","Composting and digestion","Kilograms per capita","112",""
"2006","Belgium","Composting and digestion","Kilograms per capita","113",""
"2007","Belgium","Composting and digestion","Kilograms per capita","116",""
"2008","Belgium","Composting and digestion","Kilograms per capita","98",""
"2009","Belgium","Composting and digestion","Kilograms per capita","95",""
"2010","Belgium","Composting and digestion","Kilograms per capita","97",""
"2011","Belgium","Composting and digestion","Kilograms per capita","93",""
"2012","Belgium","Composting and digestion","Kilograms per capita","93",""
"2013","Belgium","Composting and digestion","Kilograms per capita","92",""
"2014","Belgium","Composting and digestion","Kilograms per capita","87",""
"2015","Belgium","Composting and digestion","Kilograms per capita","80",""
"2005","Bulgaria","Composting and digestion","Kilograms per capita","0",""
"2006","Bulgaria","Composting and digestion","Kilograms per capita","0",""
"2007","Bulgaria","Composting and digestion","Kilograms per capita","0",""
"2008","Bulgaria","Composting and digestion","Kilograms per capita","0",""
"2009","Bulgaria","Composting and digestion","Kilograms per capita","0",""
"2010","Bulgaria","Composting and digestion","Kilograms per capita","0",""
"2011","Bulgaria","Composting and digestion","Kilograms per capita","11",""
"2012","Bulgaria","Composting and digestion","Kilograms per capita","13",""
"2013","Bulgaria","Composting and digestion","Kilograms per capita","15",""
"2014","Bulgaria","Composting and digestion","Kilograms per capita","8",""
"2015","Bulgaria","Composting and digestion","Kilograms per capita","43",""
"2005","Switzerland","Composting and digestion","Kilograms per capita","103",""
"2006","Switzerland","Composting and digestion","Kilograms per capita","118",""
"2007","Switzerland","Composting and digestion","Kilograms per capita","123",""
"2008","Switzerland","Composting and digestion","Kilograms per capita","121",""
"2009","Switzerland","Composting and digestion","Kilograms per capita","120",""
"2010","Switzerland","Composting and digestion","Kilograms per capita","118",""
"2011","Switzerland","Composting and digestion","Kilograms per capita","107",""
"2012","Switzerland","Composting and digestion","Kilograms per capita","106","e"
"2013","Switzerland","Composting and digestion","Kilograms per capita","122",""
"2014","Switzerland","Composting and digestion","Kilograms per capita","153","e"
"2015","Switzerland","Composting and digestion","Kilograms per capita","151",""
"2005","Cyprus","Composting and digestion","Kilograms per capita","0",""
"2006","Cyprus","Composting and digestion","Kilograms per capita","0",""
"2007","Cyprus","Composting and digestion","Kilograms per capita","0",""
"2008","Cyprus","Composting and digestion","Kilograms per capita","0",""
"2009","Cyprus","Composting and digestion","Kilograms per capita","0",""
"2010","Cyprus","Composting and digestion","Kilograms per capita","0",""
"2011","Cyprus","Composting and digestion","Kilograms per capita","0",""
"2012","Cyprus","Composting and digestion","Kilograms per capita","8",""
"2013","Cyprus","Composting and digestion","Kilograms per capita","9",""
"2014","Cyprus","Composting and digestion","Kilograms per capita","21","e"
"2015","Cyprus","Composting and digestion","Kilograms per capita","30","e"
"2005","Czech Republic","Composting and digestion","Kilograms per capita","2","e"
"2006","Czech Republic","Composting and digestion","Kilograms per capita","2","e"
"2007","Czech Republic","Composting and digestion","Kilograms per capita","3","e"
"2008","Czech Republic","Composting and digestion","Kilograms per capita","5","e"
"2009","Czech Republic","Composting and digestion","Kilograms per capita","5","e"
"2010","Czech Republic","Composting and digestion","Kilograms per capita","7","e"
"2011","Czech Republic","Composting and digestion","Kilograms per capita","7","e"
"2012","Czech Republic","Composting and digestion","Kilograms per capita","8","e"
"2013","Czech Republic","Composting and digestion","Kilograms per capita","9","e"
"2014","Czech Republic","Composting and digestion","Kilograms per capita","9","e"
"2015","Czech Republic","Composting and digestion","Kilograms per capita","13","e"
"2005","Germany (until 1990 former territory of the FRG)","Composting and digestion","Kilograms per capita","93",""
"2006","Germany (until 1990 former territory of the FRG)","Composting and digestion","Kilograms per capita","93",""
"2007","Germany (until 1990 former territory of the FRG)","Composting and digestion","Kilograms per capita","94",""
"2008","Germany (until 1990 former territory of the FRG)","Composting and digestion","Kilograms per capita","98",""
"2009","Germany (until 1990 former territory of the FRG)","Composting and digestion","Kilograms per capita","102",""
"2010","Germany (until 1990 former territory of the FRG)","Composting and digestion","Kilograms per capita","101",""
"2011","Germany (until 1990 former territory of the FRG)","Composting and digestion","Kilograms per capita","106",""
"2012","Germany (until 1990 former territory of the FRG)","Composting and digestion","Kilograms per capita","110",""
"2013","Germany (until 1990 former territory of the FRG)","Composting and digestion","Kilograms per capita","106",""
"2014","Germany (until 1990 former territory of the FRG)","Composting and digestion","Kilograms per capita","114",""
"2015","Germany (until 1990 former territory of the FRG)","Composting and digestion","Kilograms per capita","114","e"
"2005","Denmark","Composting and digestion","Kilograms per capita","122",""
"2006","Denmark","Composting and digestion","Kilograms per capita","129",""
