"TIME";"GEO";"WST_OPER";"UNIT";"Value";"Flag and Footnotes"
2015.0;"Croatia";"Composting and digestion";"Kilograms per capita";"7";
2014.0;"Croatia";"Composting and digestion";"Kilograms per capita";"8";
2013.0;"Croatia";"Composting and digestion";"Kilograms per capita";"7";
2012.0;"Croatia";"Composting and digestion";"Kilograms per capita";"6";
2011.0;"Croatia";"Composting and digestion";"Kilograms per capita";"3";
2010.0;"Croatia";"Composting and digestion";"Kilograms per capita";"3";
2009.0;"Croatia";"Composting and digestion";"Kilograms per capita";"3";
2008.0;"Croatia";"Composting and digestion";"Kilograms per capita";"3";
2007.0;"Croatia";"Composting and digestion";"Kilograms per capita";"4";
2006.0;"Croatia";"Composting and digestion";"Kilograms per capita";":";
2005.0;"Croatia";"Composting and digestion";"Kilograms per capita";":";
