"TIME";"GEO";"WST_OPER";"UNIT";"Value";"Flag and Footnotes"
2015.0;"Croatia";"Landfill / disposal (D1-D7, D12)";"Kilograms per capita";"313";
2014.0;"Croatia";"Landfill / disposal (D1-D7, D12)";"Kilograms per capita";"309";
2013.0;"Croatia";"Landfill / disposal (D1-D7, D12)";"Kilograms per capita";"332";
2012.0;"Croatia";"Landfill / disposal (D1-D7, D12)";"Kilograms per capita";"323";
2011.0;"Croatia";"Landfill / disposal (D1-D7, D12)";"Kilograms per capita";"349";
2010.0;"Croatia";"Landfill / disposal (D1-D7, D12)";"Kilograms per capita";"358";
2009.0;"Croatia";"Landfill / disposal (D1-D7, D12)";"Kilograms per capita";"393";
2008.0;"Croatia";"Landfill / disposal (D1-D7, D12)";"Kilograms per capita";"401";
2007.0;"Croatia";"Landfill / disposal (D1-D7, D12)";"Kilograms per capita";"382";
2006.0;"Croatia";"Landfill / disposal (D1-D7, D12)";"Kilograms per capita";"283";
2005.0;"Croatia";"Landfill / disposal (D1-D7, D12)";"Kilograms per capita";":";
