"TIME";"GEO";"WST_OPER";"UNIT";"Value";"Flag and Footnotes"
2015.0;"Croatia";"Material recycling";"Kilograms per capita";"64";
2014.0;"Croatia";"Material recycling";"Kilograms per capita";"56";
2013.0;"Croatia";"Material recycling";"Kilograms per capita";"54";
2012.0;"Croatia";"Material recycling";"Kilograms per capita";"51";
2011.0;"Croatia";"Material recycling";"Kilograms per capita";"29";
2010.0;"Croatia";"Material recycling";"Kilograms per capita";"12";
2009.0;"Croatia";"Material recycling";"Kilograms per capita";"7";
2008.0;"Croatia";"Material recycling";"Kilograms per capita";"8";
2007.0;"Croatia";"Material recycling";"Kilograms per capita";"9";
2006.0;"Croatia";"Material recycling";"Kilograms per capita";":";
2005.0;"Croatia";"Material recycling";"Kilograms per capita";":";
