"TIME";"GEO";"WST_OPER";"UNIT";"Value";"Flag and Footnotes"
2015.0;"Croatia";"Waste generated";"Kilograms per capita";"393";
2014.0;"Croatia";"Waste generated";"Kilograms per capita";"387";
2013.0;"Croatia";"Waste generated";"Kilograms per capita";"404";
2012.0;"Croatia";"Waste generated";"Kilograms per capita";"391";
2011.0;"Croatia";"Waste generated";"Kilograms per capita";"384";
2010.0;"Croatia";"Waste generated";"Kilograms per capita";"379";
2009.0;"Croatia";"Waste generated";"Kilograms per capita";"405";
2008.0;"Croatia";"Waste generated";"Kilograms per capita";"415";
2007.0;"Croatia";"Waste generated";"Kilograms per capita";"399";
2006.0;"Croatia";"Waste generated";"Kilograms per capita";"384";
2005.0;"Croatia";"Waste generated";"Kilograms per capita";"336";"e"
