"TIME";"GEO";"WST_OPER";"UNIT";"Value";"Flag and Footnotes"
2015.0;"Cyprus";"Composting and digestion";"Kilograms per capita";"30";"e"
2014.0;"Cyprus";"Composting and digestion";"Kilograms per capita";"21";"e"
2013.0;"Cyprus";"Composting and digestion";"Kilograms per capita";"9";
2012.0;"Cyprus";"Composting and digestion";"Kilograms per capita";"8";
2011.0;"Cyprus";"Composting and digestion";"Kilograms per capita";"0";
2010.0;"Cyprus";"Composting and digestion";"Kilograms per capita";"0";
2009.0;"Cyprus";"Composting and digestion";"Kilograms per capita";"0";
2008.0;"Cyprus";"Composting and digestion";"Kilograms per capita";"0";
2007.0;"Cyprus";"Composting and digestion";"Kilograms per capita";"0";
2006.0;"Cyprus";"Composting and digestion";"Kilograms per capita";"0";
2005.0;"Cyprus";"Composting and digestion";"Kilograms per capita";"0";
