"TIME";"GEO";"WST_OPER";"UNIT";"Value";"Flag and Footnotes"
2015.0;"Cyprus";"Landfill / disposal (D1-D7, D12)";"Kilograms per capita";"475";"e"
2014.0;"Cyprus";"Landfill / disposal (D1-D7, D12)";"Kilograms per capita";"467";"e"
2013.0;"Cyprus";"Landfill / disposal (D1-D7, D12)";"Kilograms per capita";"491";
2012.0;"Cyprus";"Landfill / disposal (D1-D7, D12)";"Kilograms per capita";"522";
2011.0;"Cyprus";"Landfill / disposal (D1-D7, D12)";"Kilograms per capita";"542";
2010.0;"Cyprus";"Landfill / disposal (D1-D7, D12)";"Kilograms per capita";"591";
2009.0;"Cyprus";"Landfill / disposal (D1-D7, D12)";"Kilograms per capita";"668";
2008.0;"Cyprus";"Landfill / disposal (D1-D7, D12)";"Kilograms per capita";"675";
2007.0;"Cyprus";"Landfill / disposal (D1-D7, D12)";"Kilograms per capita";"668";
2006.0;"Cyprus";"Landfill / disposal (D1-D7, D12)";"Kilograms per capita";"665";
2005.0;"Cyprus";"Landfill / disposal (D1-D7, D12)";"Kilograms per capita";"663";
