"TIME";"GEO";"WST_OPER";"UNIT";"Value";"Flag and Footnotes"
2015.0;"Cyprus";"Material recycling";"Kilograms per capita";"85";"e"
2014.0;"Cyprus";"Material recycling";"Kilograms per capita";"83";"e"
2013.0;"Cyprus";"Material recycling";"Kilograms per capita";"81";
2012.0;"Cyprus";"Material recycling";"Kilograms per capita";"81";
2011.0;"Cyprus";"Material recycling";"Kilograms per capita";"85";
2010.0;"Cyprus";"Material recycling";"Kilograms per capita";"74";
2009.0;"Cyprus";"Material recycling";"Kilograms per capita";"61";
2008.0;"Cyprus";"Material recycling";"Kilograms per capita";"54";
2007.0;"Cyprus";"Material recycling";"Kilograms per capita";"36";
2006.0;"Cyprus";"Material recycling";"Kilograms per capita";"29";
2005.0;"Cyprus";"Material recycling";"Kilograms per capita";"25";
