"TIME";"GEO";"WST_OPER";"UNIT";"Value";"Flag and Footnotes"
2015.0;"Cyprus";"Waste generated";"Kilograms per capita";"638";"e"
2014.0;"Cyprus";"Waste generated";"Kilograms per capita";"615";"e"
2013.0;"Cyprus";"Waste generated";"Kilograms per capita";"618";
2012.0;"Cyprus";"Waste generated";"Kilograms per capita";"657";
2011.0;"Cyprus";"Waste generated";"Kilograms per capita";"672";
2010.0;"Cyprus";"Waste generated";"Kilograms per capita";"689";
2009.0;"Cyprus";"Waste generated";"Kilograms per capita";"729";
2008.0;"Cyprus";"Waste generated";"Kilograms per capita";"728";
2007.0;"Cyprus";"Waste generated";"Kilograms per capita";"704";
2006.0;"Cyprus";"Waste generated";"Kilograms per capita";"694";
2005.0;"Cyprus";"Waste generated";"Kilograms per capita";"688";
