"TIME";"GEO";"WST_OPER";"UNIT";"Value";"Flag and Footnotes"
2015.0;"Czech Republic";"Composting and digestion";"Kilograms per capita";"13";"e"
2014.0;"Czech Republic";"Composting and digestion";"Kilograms per capita";"9";"e"
2013.0;"Czech Republic";"Composting and digestion";"Kilograms per capita";"9";"e"
2012.0;"Czech Republic";"Composting and digestion";"Kilograms per capita";"8";"e"
2011.0;"Czech Republic";"Composting and digestion";"Kilograms per capita";"7";"e"
2010.0;"Czech Republic";"Composting and digestion";"Kilograms per capita";"7";"e"
2009.0;"Czech Republic";"Composting and digestion";"Kilograms per capita";"5";"e"
2008.0;"Czech Republic";"Composting and digestion";"Kilograms per capita";"5";"e"
2007.0;"Czech Republic";"Composting and digestion";"Kilograms per capita";"3";"e"
2006.0;"Czech Republic";"Composting and digestion";"Kilograms per capita";"2";"e"
2005.0;"Czech Republic";"Composting and digestion";"Kilograms per capita";"2";"e"
