"TIME";"GEO";"WST_OPER";"UNIT";"Value";"Flag and Footnotes"
2015.0;"Czech Republic";"Material recycling";"Kilograms per capita";"81";"e"
2014.0;"Czech Republic";"Material recycling";"Kilograms per capita";"70";"e"
2013.0;"Czech Republic";"Material recycling";"Kilograms per capita";"65";"e"
2012.0;"Czech Republic";"Material recycling";"Kilograms per capita";"63";"e"
2011.0;"Czech Republic";"Material recycling";"Kilograms per capita";"47";"e"
2010.0;"Czech Republic";"Material recycling";"Kilograms per capita";"43";"e"
2009.0;"Czech Republic";"Material recycling";"Kilograms per capita";"34";"e"
2008.0;"Czech Republic";"Material recycling";"Kilograms per capita";"27";"e"
2007.0;"Czech Republic";"Material recycling";"Kilograms per capita";"27";"e"
2006.0;"Czech Republic";"Material recycling";"Kilograms per capita";"20";"e"
2005.0;"Czech Republic";"Material recycling";"Kilograms per capita";"16";"e"
