"TIME";"GEO";"WST_OPER";"UNIT";"Value";"Flag and Footnotes"
2015.0;"Denmark";"Composting and digestion";"Kilograms per capita";"150";
2014.0;"Denmark";"Composting and digestion";"Kilograms per capita";"144";
2013.0;"Denmark";"Composting and digestion";"Kilograms per capita";"136";
2012.0;"Denmark";"Composting and digestion";"Kilograms per capita";"130";
2011.0;"Denmark";"Composting and digestion";"Kilograms per capita";"111";
2010.0;"Denmark";"Composting and digestion";"Kilograms per capita";":";
2009.0;"Denmark";"Composting and digestion";"Kilograms per capita";"134";"e"
2008.0;"Denmark";"Composting and digestion";"Kilograms per capita";"114";
2007.0;"Denmark";"Composting and digestion";"Kilograms per capita";"139";
2006.0;"Denmark";"Composting and digestion";"Kilograms per capita";"129";
2005.0;"Denmark";"Composting and digestion";"Kilograms per capita";"122";
