"TIME";"GEO";"WST_OPER";"UNIT";"Value";"Flag and Footnotes"
2015.0;"Denmark";"Landfill / disposal (D1-D7, D12)";"Kilograms per capita";"9";
2014.0;"Denmark";"Landfill / disposal (D1-D7, D12)";"Kilograms per capita";"10";
2013.0;"Denmark";"Landfill / disposal (D1-D7, D12)";"Kilograms per capita";"14";
2012.0;"Denmark";"Landfill / disposal (D1-D7, D12)";"Kilograms per capita";"19";
2011.0;"Denmark";"Landfill / disposal (D1-D7, D12)";"Kilograms per capita";"20";
2010.0;"Denmark";"Landfill / disposal (D1-D7, D12)";"Kilograms per capita";":";
2009.0;"Denmark";"Landfill / disposal (D1-D7, D12)";"Kilograms per capita";"24";"e"
2008.0;"Denmark";"Landfill / disposal (D1-D7, D12)";"Kilograms per capita";"32";
2007.0;"Denmark";"Landfill / disposal (D1-D7, D12)";"Kilograms per capita";"37";
2006.0;"Denmark";"Landfill / disposal (D1-D7, D12)";"Kilograms per capita";"37";
2005.0;"Denmark";"Landfill / disposal (D1-D7, D12)";"Kilograms per capita";"38";
