"TIME";"GEO";"WST_OPER";"UNIT";"Value";"Flag and Footnotes"
2015.0;"Denmark";"Waste generated";"Kilograms per capita";"789";
2014.0;"Denmark";"Waste generated";"Kilograms per capita";"789";
2013.0;"Denmark";"Waste generated";"Kilograms per capita";"790";
2012.0;"Denmark";"Waste generated";"Kilograms per capita";"791";
2011.0;"Denmark";"Waste generated";"Kilograms per capita";"781";
2010.0;"Denmark";"Waste generated";"Kilograms per capita";":";
2009.0;"Denmark";"Waste generated";"Kilograms per capita";"762";"e"
2008.0;"Denmark";"Waste generated";"Kilograms per capita";"830";
2007.0;"Denmark";"Waste generated";"Kilograms per capita";"790";
2006.0;"Denmark";"Waste generated";"Kilograms per capita";"740";
2005.0;"Denmark";"Waste generated";"Kilograms per capita";"736";
