"TIME";"GEO";"WST_OPER";"UNIT";"Value";"Flag and Footnotes"
2015.0;"Finland";"Landfill / disposal (D1-D7, D12)";"Kilograms per capita";"57";
2014.0;"Finland";"Landfill / disposal (D1-D7, D12)";"Kilograms per capita";"84";
2013.0;"Finland";"Landfill / disposal (D1-D7, D12)";"Kilograms per capita";"124";
2012.0;"Finland";"Landfill / disposal (D1-D7, D12)";"Kilograms per capita";"166";
2011.0;"Finland";"Landfill / disposal (D1-D7, D12)";"Kilograms per capita";"203";
2010.0;"Finland";"Landfill / disposal (D1-D7, D12)";"Kilograms per capita";"212";
2009.0;"Finland";"Landfill / disposal (D1-D7, D12)";"Kilograms per capita";"221";
2008.0;"Finland";"Landfill / disposal (D1-D7, D12)";"Kilograms per capita";"265";
2007.0;"Finland";"Landfill / disposal (D1-D7, D12)";"Kilograms per capita";"267";
2006.0;"Finland";"Landfill / disposal (D1-D7, D12)";"Kilograms per capita";"286";
2005.0;"Finland";"Landfill / disposal (D1-D7, D12)";"Kilograms per capita";"282";
