"TIME";"GEO";"WST_OPER";"UNIT";"Value";"Flag and Footnotes"
2015.0;"Finland";"Incineration / disposal (D10)";"Kilograms per capita";"0";
2014.0;"Finland";"Incineration / disposal (D10)";"Kilograms per capita";"0";
2013.0;"Finland";"Incineration / disposal (D10)";"Kilograms per capita";"0";
2012.0;"Finland";"Incineration / disposal (D10)";"Kilograms per capita";"0";
2011.0;"Finland";"Incineration / disposal (D10)";"Kilograms per capita";"0";
2010.0;"Finland";"Incineration / disposal (D10)";"Kilograms per capita";"21";
2009.0;"Finland";"Incineration / disposal (D10)";"Kilograms per capita";"21";
2008.0;"Finland";"Incineration / disposal (D10)";"Kilograms per capita";"25";
2007.0;"Finland";"Incineration / disposal (D10)";"Kilograms per capita";"14";
2006.0;"Finland";"Incineration / disposal (D10)";"Kilograms per capita";"10";
2005.0;"Finland";"Incineration / disposal (D10)";"Kilograms per capita";"10";
