"TIME";"GEO";"WST_OPER";"UNIT";"Value";"Flag and Footnotes"
2015.0;"Finland";"Material recycling";"Kilograms per capita";"141";
2014.0;"Finland";"Material recycling";"Kilograms per capita";"87";
2013.0;"Finland";"Material recycling";"Kilograms per capita";"94";
2012.0;"Finland";"Material recycling";"Kilograms per capita";"109";
2011.0;"Finland";"Material recycling";"Kilograms per capita";"110";
2010.0;"Finland";"Material recycling";"Kilograms per capita";"92";
2009.0;"Finland";"Material recycling";"Kilograms per capita";"115";
2008.0;"Finland";"Material recycling";"Kilograms per capita";"134";
2007.0;"Finland";"Material recycling";"Kilograms per capita";"131";
2006.0;"Finland";"Material recycling";"Kilograms per capita";"129";
2005.0;"Finland";"Material recycling";"Kilograms per capita";"124";
