"TIME";"GEO";"WST_OPER";"UNIT";"Value";"Flag and Footnotes"
2015.0;"Finland";"Waste generated";"Kilograms per capita";"500";
2014.0;"Finland";"Waste generated";"Kilograms per capita";"482";
2013.0;"Finland";"Waste generated";"Kilograms per capita";"493";
2012.0;"Finland";"Waste generated";"Kilograms per capita";"506";
2011.0;"Finland";"Waste generated";"Kilograms per capita";"505";
2010.0;"Finland";"Waste generated";"Kilograms per capita";"470";
2009.0;"Finland";"Waste generated";"Kilograms per capita";"480";
2008.0;"Finland";"Waste generated";"Kilograms per capita";"521";
2007.0;"Finland";"Waste generated";"Kilograms per capita";"506";
2006.0;"Finland";"Waste generated";"Kilograms per capita";"494";
2005.0;"Finland";"Waste generated";"Kilograms per capita";"478";
