"TIME";"GEO";"WST_OPER";"UNIT";"Value";"Flag and Footnotes"
2015.0;"France";"Composting and digestion";"Kilograms per capita";"87";"e"
2014.0;"France";"Composting and digestion";"Kilograms per capita";"87";"e"
2013.0;"France";"Composting and digestion";"Kilograms per capita";"88";
2012.0;"France";"Composting and digestion";"Kilograms per capita";"87";
2011.0;"France";"Composting and digestion";"Kilograms per capita";"88";
2010.0;"France";"Composting and digestion";"Kilograms per capita";"91";
2009.0;"France";"Composting and digestion";"Kilograms per capita";"89";
2008.0;"France";"Composting and digestion";"Kilograms per capita";"87";
2007.0;"France";"Composting and digestion";"Kilograms per capita";"80";
2006.0;"France";"Composting and digestion";"Kilograms per capita";"75";
2005.0;"France";"Composting and digestion";"Kilograms per capita";"72";
