"TIME";"GEO";"WST_OPER";"UNIT";"Value";"Flag and Footnotes"
2015.0;"France";"Landfill / disposal (D1-D7, D12)";"Kilograms per capita";"129";"e"
2014.0;"France";"Landfill / disposal (D1-D7, D12)";"Kilograms per capita";"131";"e"
2013.0;"France";"Landfill / disposal (D1-D7, D12)";"Kilograms per capita";"133";
2012.0;"France";"Landfill / disposal (D1-D7, D12)";"Kilograms per capita";"139";
2011.0;"France";"Landfill / disposal (D1-D7, D12)";"Kilograms per capita";"149";
2010.0;"France";"Landfill / disposal (D1-D7, D12)";"Kilograms per capita";"166";
2009.0;"France";"Landfill / disposal (D1-D7, D12)";"Kilograms per capita";"167";
2008.0;"France";"Landfill / disposal (D1-D7, D12)";"Kilograms per capita";"171";
2007.0;"France";"Landfill / disposal (D1-D7, D12)";"Kilograms per capita";"194";
2006.0;"France";"Landfill / disposal (D1-D7, D12)";"Kilograms per capita";"194";
2005.0;"France";"Landfill / disposal (D1-D7, D12)";"Kilograms per capita";"182";
