"TIME";"GEO";"WST_OPER";"UNIT";"Value";"Flag and Footnotes"
2015.0;"France";"Incineration / disposal (D10)";"Kilograms per capita";"5";"e"
2014.0;"France";"Incineration / disposal (D10)";"Kilograms per capita";"6";"e"
2013.0;"France";"Incineration / disposal (D10)";"Kilograms per capita";"6";
2012.0;"France";"Incineration / disposal (D10)";"Kilograms per capita";"6";
2011.0;"France";"Incineration / disposal (D10)";"Kilograms per capita";"6";
2010.0;"France";"Incineration / disposal (D10)";"Kilograms per capita";"8";
2009.0;"France";"Incineration / disposal (D10)";"Kilograms per capita";"8";
2008.0;"France";"Incineration / disposal (D10)";"Kilograms per capita";"9";
2007.0;"France";"Incineration / disposal (D10)";"Kilograms per capita";"9";
2006.0;"France";"Incineration / disposal (D10)";"Kilograms per capita";"9";
2005.0;"France";"Incineration / disposal (D10)";"Kilograms per capita";"10";
