"TIME";"GEO";"WST_OPER";"UNIT";"Value";"Flag and Footnotes"
2015.0;"France";"Material recycling";"Kilograms per capita";"112";"e"
2014.0;"France";"Material recycling";"Kilograms per capita";"112";"e"
2013.0;"France";"Material recycling";"Kilograms per capita";"111";
2012.0;"France";"Material recycling";"Kilograms per capita";"110";
2011.0;"France";"Material recycling";"Kilograms per capita";"111";
2010.0;"France";"Material recycling";"Kilograms per capita";"95";
2009.0;"France";"Material recycling";"Kilograms per capita";"93";
2008.0;"France";"Material recycling";"Kilograms per capita";"93";
2007.0;"France";"Material recycling";"Kilograms per capita";"93";
2006.0;"France";"Material recycling";"Kilograms per capita";"89";
2005.0;"France";"Material recycling";"Kilograms per capita";"85";
