"TIME";"GEO";"WST_OPER";"UNIT";"Value";"Flag and Footnotes"
2015.0;"France";"Waste generated";"Kilograms per capita";"501";"e"
2014.0;"France";"Waste generated";"Kilograms per capita";"510";"e"
2013.0;"France";"Waste generated";"Kilograms per capita";"517";
2012.0;"France";"Waste generated";"Kilograms per capita";"523";
2011.0;"France";"Waste generated";"Kilograms per capita";"538";
2010.0;"France";"Waste generated";"Kilograms per capita";"533";
2009.0;"France";"Waste generated";"Kilograms per capita";"535";
2008.0;"France";"Waste generated";"Kilograms per capita";"541";
2007.0;"France";"Waste generated";"Kilograms per capita";"543";
2006.0;"France";"Waste generated";"Kilograms per capita";"536";
2005.0;"France";"Waste generated";"Kilograms per capita";"530";
