"TIME";"GEO";"WST_OPER";"UNIT";"Value";"Flag and Footnotes"
2015.0;"Germany (until 1990 former territory of the FRG)";"Composting and digestion";"Kilograms per capita";"114";"e"
2014.0;"Germany (until 1990 former territory of the FRG)";"Composting and digestion";"Kilograms per capita";"114";
2013.0;"Germany (until 1990 former territory of the FRG)";"Composting and digestion";"Kilograms per capita";"106";
2012.0;"Germany (until 1990 former territory of the FRG)";"Composting and digestion";"Kilograms per capita";"110";
2011.0;"Germany (until 1990 former territory of the FRG)";"Composting and digestion";"Kilograms per capita";"106";
2010.0;"Germany (until 1990 former territory of the FRG)";"Composting and digestion";"Kilograms per capita";"101";
2009.0;"Germany (until 1990 former territory of the FRG)";"Composting and digestion";"Kilograms per capita";"102";
2008.0;"Germany (until 1990 former territory of the FRG)";"Composting and digestion";"Kilograms per capita";"98";
2007.0;"Germany (until 1990 former territory of the FRG)";"Composting and digestion";"Kilograms per capita";"94";
2006.0;"Germany (until 1990 former territory of the FRG)";"Composting and digestion";"Kilograms per capita";"93";
2005.0;"Germany (until 1990 former territory of the FRG)";"Composting and digestion";"Kilograms per capita";"93";
