"TIME";"GEO";"WST_OPER";"UNIT";"Value";"Flag and Footnotes"
2015.0;"Germany (until 1990 former territory of the FRG)";"Landfill / disposal (D1-D7, D12)";"Kilograms per capita";"1";"e"
2014.0;"Germany (until 1990 former territory of the FRG)";"Landfill / disposal (D1-D7, D12)";"Kilograms per capita";"2";
2013.0;"Germany (until 1990 former territory of the FRG)";"Landfill / disposal (D1-D7, D12)";"Kilograms per capita";"2";
2012.0;"Germany (until 1990 former territory of the FRG)";"Landfill / disposal (D1-D7, D12)";"Kilograms per capita";"1";
2011.0;"Germany (until 1990 former territory of the FRG)";"Landfill / disposal (D1-D7, D12)";"Kilograms per capita";"3";
2010.0;"Germany (until 1990 former territory of the FRG)";"Landfill / disposal (D1-D7, D12)";"Kilograms per capita";"3";
2009.0;"Germany (until 1990 former territory of the FRG)";"Landfill / disposal (D1-D7, D12)";"Kilograms per capita";"2";
2008.0;"Germany (until 1990 former territory of the FRG)";"Landfill / disposal (D1-D7, D12)";"Kilograms per capita";"3";
2007.0;"Germany (until 1990 former territory of the FRG)";"Landfill / disposal (D1-D7, D12)";"Kilograms per capita";"4";
2006.0;"Germany (until 1990 former territory of the FRG)";"Landfill / disposal (D1-D7, D12)";"Kilograms per capita";"4";
2005.0;"Germany (until 1990 former territory of the FRG)";"Landfill / disposal (D1-D7, D12)";"Kilograms per capita";"48";
