"TIME";"GEO";"WST_OPER";"UNIT";"Value";"Flag and Footnotes"
2015.0;"Germany (until 1990 former territory of the FRG)";"Incineration / disposal (D10)";"Kilograms per capita";"58";"e"
2014.0;"Germany (until 1990 former territory of the FRG)";"Incineration / disposal (D10)";"Kilograms per capita";"59";
2013.0;"Germany (until 1990 former territory of the FRG)";"Incineration / disposal (D10)";"Kilograms per capita";"65";
2012.0;"Germany (until 1990 former territory of the FRG)";"Incineration / disposal (D10)";"Kilograms per capita";"104";
2011.0;"Germany (until 1990 former territory of the FRG)";"Incineration / disposal (D10)";"Kilograms per capita";"128";
2010.0;"Germany (until 1990 former territory of the FRG)";"Incineration / disposal (D10)";"Kilograms per capita";"129";
2009.0;"Germany (until 1990 former territory of the FRG)";"Incineration / disposal (D10)";"Kilograms per capita";"133";
2008.0;"Germany (until 1990 former territory of the FRG)";"Incineration / disposal (D10)";"Kilograms per capita";"134";
2007.0;"Germany (until 1990 former territory of the FRG)";"Incineration / disposal (D10)";"Kilograms per capita";"143";
2006.0;"Germany (until 1990 former territory of the FRG)";"Incineration / disposal (D10)";"Kilograms per capita";"163";
2005.0;"Germany (until 1990 former territory of the FRG)";"Incineration / disposal (D10)";"Kilograms per capita";"167";
