"TIME";"GEO";"WST_OPER";"UNIT";"Value";"Flag and Footnotes"
2015.0;"Germany (until 1990 former territory of the FRG)";"Material recycling";"Kilograms per capita";"299";"e"
2014.0;"Germany (until 1990 former territory of the FRG)";"Material recycling";"Kilograms per capita";"300";
2013.0;"Germany (until 1990 former territory of the FRG)";"Material recycling";"Kilograms per capita";"286";
2012.0;"Germany (until 1990 former territory of the FRG)";"Material recycling";"Kilograms per capita";"293";
2011.0;"Germany (until 1990 former territory of the FRG)";"Material recycling";"Kilograms per capita";"288";
2010.0;"Germany (until 1990 former territory of the FRG)";"Material recycling";"Kilograms per capita";"275";
2009.0;"Germany (until 1990 former territory of the FRG)";"Material recycling";"Kilograms per capita";"271";
2008.0;"Germany (until 1990 former territory of the FRG)";"Material recycling";"Kilograms per capita";"277";
2007.0;"Germany (until 1990 former territory of the FRG)";"Material recycling";"Kilograms per capita";"274";
2006.0;"Germany (until 1990 former territory of the FRG)";"Material recycling";"Kilograms per capita";"257";
2005.0;"Germany (until 1990 former territory of the FRG)";"Material recycling";"Kilograms per capita";"251";
