"TIME";"GEO";"WST_OPER";"UNIT";"Value";"Flag and Footnotes"
2015.0;"Germany (until 1990 former territory of the FRG)";"Waste generated";"Kilograms per capita";"625";"e"
2014.0;"Germany (until 1990 former territory of the FRG)";"Waste generated";"Kilograms per capita";"631";
2013.0;"Germany (until 1990 former territory of the FRG)";"Waste generated";"Kilograms per capita";"615";
2012.0;"Germany (until 1990 former territory of the FRG)";"Waste generated";"Kilograms per capita";"619";
2011.0;"Germany (until 1990 former territory of the FRG)";"Waste generated";"Kilograms per capita";"626";
2010.0;"Germany (until 1990 former territory of the FRG)";"Waste generated";"Kilograms per capita";"602";
2009.0;"Germany (until 1990 former territory of the FRG)";"Waste generated";"Kilograms per capita";"592";
2008.0;"Germany (until 1990 former territory of the FRG)";"Waste generated";"Kilograms per capita";"589";
2007.0;"Germany (until 1990 former territory of the FRG)";"Waste generated";"Kilograms per capita";"582";
2006.0;"Germany (until 1990 former territory of the FRG)";"Waste generated";"Kilograms per capita";"564";
2005.0;"Germany (until 1990 former territory of the FRG)";"Waste generated";"Kilograms per capita";"565";
