"TIME";"GEO";"WST_OPER";"UNIT";"Value";"Flag and Footnotes"
2015.0;"Greece";"Composting and digestion";"Kilograms per capita";"12";
2014.0;"Greece";"Composting and digestion";"Kilograms per capita";"15";
2013.0;"Greece";"Composting and digestion";"Kilograms per capita";"17";
2012.0;"Greece";"Composting and digestion";"Kilograms per capita";"16";
2011.0;"Greece";"Composting and digestion";"Kilograms per capita";"14";
2010.0;"Greece";"Composting and digestion";"Kilograms per capita";"13";
2009.0;"Greece";"Composting and digestion";"Kilograms per capita";"3";
2008.0;"Greece";"Composting and digestion";"Kilograms per capita";"9";
2007.0;"Greece";"Composting and digestion";"Kilograms per capita";"9";
2006.0;"Greece";"Composting and digestion";"Kilograms per capita";"7";
2005.0;"Greece";"Composting and digestion";"Kilograms per capita";"3";
