"TIME";"GEO";"WST_OPER";"UNIT";"Value";"Flag and Footnotes"
2015.0;"Greece";"Landfill / disposal (D1-D7, D12)";"Kilograms per capita";"409";
2014.0;"Greece";"Landfill / disposal (D1-D7, D12)";"Kilograms per capita";"410";
2013.0;"Greece";"Landfill / disposal (D1-D7, D12)";"Kilograms per capita";"403";
2012.0;"Greece";"Landfill / disposal (D1-D7, D12)";"Kilograms per capita";"408";
2011.0;"Greece";"Landfill / disposal (D1-D7, D12)";"Kilograms per capita";"412";
2010.0;"Greece";"Landfill / disposal (D1-D7, D12)";"Kilograms per capita";"441";
2009.0;"Greece";"Landfill / disposal (D1-D7, D12)";"Kilograms per capita";"376";
2008.0;"Greece";"Landfill / disposal (D1-D7, D12)";"Kilograms per capita";"377";
2007.0;"Greece";"Landfill / disposal (D1-D7, D12)";"Kilograms per capita";"362";
2006.0;"Greece";"Landfill / disposal (D1-D7, D12)";"Kilograms per capita";"390";
2005.0;"Greece";"Landfill / disposal (D1-D7, D12)";"Kilograms per capita";"391";
