"TIME";"GEO";"WST_OPER";"UNIT";"Value";"Flag and Footnotes"
2015.0;"Greece";"Material recycling";"Kilograms per capita";"62";
2014.0;"Greece";"Material recycling";"Kilograms per capita";"60";
2013.0;"Greece";"Material recycling";"Kilograms per capita";"59";
2012.0;"Greece";"Material recycling";"Kilograms per capita";"68";
2011.0;"Greece";"Material recycling";"Kilograms per capita";"75";
2010.0;"Greece";"Material recycling";"Kilograms per capita";"78";
2009.0;"Greece";"Material recycling";"Kilograms per capita";"84";
2008.0;"Greece";"Material recycling";"Kilograms per capita";"72";
2007.0;"Greece";"Material recycling";"Kilograms per capita";"82";
2006.0;"Greece";"Material recycling";"Kilograms per capita";"50";
2005.0;"Greece";"Material recycling";"Kilograms per capita";"49";
