"TIME";"GEO";"WST_OPER";"UNIT";"Value";"Flag and Footnotes"
2015.0;"Greece";"Waste generated";"Kilograms per capita";"485";
2014.0;"Greece";"Waste generated";"Kilograms per capita";"488";
2013.0;"Greece";"Waste generated";"Kilograms per capita";"482";
2012.0;"Greece";"Waste generated";"Kilograms per capita";"495";
2011.0;"Greece";"Waste generated";"Kilograms per capita";"503";
2010.0;"Greece";"Waste generated";"Kilograms per capita";"532";
2009.0;"Greece";"Waste generated";"Kilograms per capita";"464";
2008.0;"Greece";"Waste generated";"Kilograms per capita";"458";
2007.0;"Greece";"Waste generated";"Kilograms per capita";"453";
2006.0;"Greece";"Waste generated";"Kilograms per capita";"447";
2005.0;"Greece";"Waste generated";"Kilograms per capita";"442";
