"TIME","GEO","WST_OPER","UNIT","Value","Flag and Footnotes"
"2005","Austria","Incineration / disposal (D10)","Kilograms per capita","0",""
"2006","Austria","Incineration / disposal (D10)","Kilograms per capita","0",""
"2007","Austria","Incineration / disposal (D10)","Kilograms per capita","0",""
"2008","Austria","Incineration / disposal (D10)","Kilograms per capita","0",""
"2009","Austria","Incineration / disposal (D10)","Kilograms per capita","0",""
"2010","Austria","Incineration / disposal (D10)","Kilograms per capita","0",""
"2011","Austria","Incineration / disposal (D10)","Kilograms per capita","0",""
"2012","Austria","Incineration / disposal (D10)","Kilograms per capita","0",""
"2013","Austria","Incineration / disposal (D10)","Kilograms per capita","0",""
"2014","Austria","Incineration / disposal (D10)","Kilograms per capita","0",""
"2015","Austria","Incineration / disposal (D10)","Kilograms per capita","0",""
"2005","Bosnia and Herzegovina","Incineration / disposal (D10)","Kilograms per capita",":",""
"2006","Bosnia and Herzegovina","Incineration / disposal (D10)","Kilograms per capita",":",""
"2007","Bosnia and Herzegovina","Incineration / disposal (D10)","Kilograms per capita",":",""
"2008","Bosnia and Herzegovina","Incineration / disposal (D10)","Kilograms per capita","0",""
"2009","Bosnia and Herzegovina","Incineration / disposal (D10)","Kilograms per capita","0",""
"2010","Bosnia and Herzegovina","Incineration / disposal (D10)","Kilograms per capita","0",""
"2011","Bosnia and Herzegovina","Incineration / disposal (D10)","Kilograms per capita","0",""
"2012","Bosnia and Herzegovina","Incineration / disposal (D10)","Kilograms per capita","0",""
"2013","Bosnia and Herzegovina","Incineration / disposal (D10)","Kilograms per capita","0",""
"2014","Bosnia and Herzegovina","Incineration / disposal (D10)","Kilograms per capita",":",""
"2015","Bosnia and Herzegovina","Incineration / disposal (D10)","Kilograms per capita",":",""
"2005","Belgium","Incineration / disposal (D10)","Kilograms per capita","11",""
"2006","Belgium","Incineration / disposal (D10)","Kilograms per capita","2",""
"2007","Belgium","Incineration / disposal (D10)","Kilograms per capita","5",""
"2008","Belgium","Incineration / disposal (D10)","Kilograms per capita","51",""
"2009","Belgium","Incineration / disposal (D10)","Kilograms per capita","52",""
"2010","Belgium","Incineration / disposal (D10)","Kilograms per capita","55",""
"2011","Belgium","Incineration / disposal (D10)","Kilograms per capita","63",""
"2012","Belgium","Incineration / disposal (D10)","Kilograms per capita","63",""
"2013","Belgium","Incineration / disposal (D10)","Kilograms per capita","64",""
"2014","Belgium","Incineration / disposal (D10)","Kilograms per capita","75",""
"2015","Belgium","Incineration / disposal (D10)","Kilograms per capita","75",""
"2005","Bulgaria","Incineration / disposal (D10)","Kilograms per capita","0",""
"2006","Bulgaria","Incineration / disposal (D10)","Kilograms per capita","0",""
"2007","Bulgaria","Incineration / disposal (D10)","Kilograms per capita","0",""
"2008","Bulgaria","Incineration / disposal (D10)","Kilograms per capita","0",""
"2009","Bulgaria","Incineration / disposal (D10)","Kilograms per capita","0",""
"2010","Bulgaria","Incineration / disposal (D10)","Kilograms per capita","0",""
"2011","Bulgaria","Incineration / disposal (D10)","Kilograms per capita","0",""
"2012","Bulgaria","Incineration / disposal (D10)","Kilograms per capita","0",""
"2013","Bulgaria","Incineration / disposal (D10)","Kilograms per capita","0",""
"2014","Bulgaria","Incineration / disposal (D10)","Kilograms per capita","0",""
"2015","Bulgaria","Incineration / disposal (D10)","Kilograms per capita","0",""
"2005","Switzerland","Incineration / disposal (D10)","Kilograms per capita","0",""
"2006","Switzerland","Incineration / disposal (D10)","Kilograms per capita","0",""
"2007","Switzerland","Incineration / disposal (D10)","Kilograms per capita","0",""
"2008","Switzerland","Incineration / disposal (D10)","Kilograms per capita","0",""
"2009","Switzerland","Incineration / disposal (D10)","Kilograms per capita","0",""
"2010","Switzerland","Incineration / disposal (D10)","Kilograms per capita","0",""
"2011","Switzerland","Incineration / disposal (D10)","Kilograms per capita","0",""
"2012","Switzerland","Incineration / disposal (D10)","Kilograms per capita","0",""
"2013","Switzerland","Incineration / disposal (D10)","Kilograms per capita","0",""
"2014","Switzerland","Incineration / disposal (D10)","Kilograms per capita","0",""
"2015","Switzerland","Incineration / disposal (D10)","Kilograms per capita","0",""
