"TIME";"GEO";"WST_OPER";"UNIT";"Value";"Flag and Footnotes"
2015.0;"Ireland";"Composting and digestion";"Kilograms per capita";":";
2014.0;"Ireland";"Composting and digestion";"Kilograms per capita";":";
2013.0;"Ireland";"Composting and digestion";"Kilograms per capita";":";
2012.0;"Ireland";"Composting and digestion";"Kilograms per capita";"34";
2011.0;"Ireland";"Composting and digestion";"Kilograms per capita";"34";
2010.0;"Ireland";"Composting and digestion";"Kilograms per capita";"23";
2009.0;"Ireland";"Composting and digestion";"Kilograms per capita";"19";
2008.0;"Ireland";"Composting and digestion";"Kilograms per capita";"24";
2007.0;"Ireland";"Composting and digestion";"Kilograms per capita";"18";
2006.0;"Ireland";"Composting and digestion";"Kilograms per capita";"13";
2005.0;"Ireland";"Composting and digestion";"Kilograms per capita";"12";
