"TIME";"GEO";"WST_OPER";"UNIT";"Value";"Flag and Footnotes"
2015.0;"Ireland";"Landfill / disposal (D1-D7, D12)";"Kilograms per capita";":";
2014.0;"Ireland";"Landfill / disposal (D1-D7, D12)";"Kilograms per capita";":";
2013.0;"Ireland";"Landfill / disposal (D1-D7, D12)";"Kilograms per capita";":";
2012.0;"Ireland";"Landfill / disposal (D1-D7, D12)";"Kilograms per capita";"224";
2011.0;"Ireland";"Landfill / disposal (D1-D7, D12)";"Kilograms per capita";"294";
2010.0;"Ireland";"Landfill / disposal (D1-D7, D12)";"Kilograms per capita";"328";
2009.0;"Ireland";"Landfill / disposal (D1-D7, D12)";"Kilograms per capita";"380";
2008.0;"Ireland";"Landfill / disposal (D1-D7, D12)";"Kilograms per capita";"432";
2007.0;"Ireland";"Landfill / disposal (D1-D7, D12)";"Kilograms per capita";"458";
2006.0;"Ireland";"Landfill / disposal (D1-D7, D12)";"Kilograms per capita";"464";
2005.0;"Ireland";"Landfill / disposal (D1-D7, D12)";"Kilograms per capita";"441";
