"TIME";"GEO";"WST_OPER";"UNIT";"Value";"Flag and Footnotes"
2015.0;"Ireland";"Material recycling";"Kilograms per capita";":";
2014.0;"Ireland";"Material recycling";"Kilograms per capita";":";
2013.0;"Ireland";"Material recycling";"Kilograms per capita";":";
2012.0;"Ireland";"Material recycling";"Kilograms per capita";"181";
2011.0;"Ireland";"Material recycling";"Kilograms per capita";"188";
2010.0;"Ireland";"Material recycling";"Kilograms per capita";"200";
2009.0;"Ireland";"Material recycling";"Kilograms per capita";"199";
2008.0;"Ireland";"Material recycling";"Kilograms per capita";"218";
2007.0;"Ireland";"Material recycling";"Kilograms per capita";"246";"s"
2006.0;"Ireland";"Material recycling";"Kilograms per capita";"249";"s"
2005.0;"Ireland";"Material recycling";"Kilograms per capita";"216";"s"
