"TIME";"GEO";"WST_OPER";"UNIT";"Value";"Flag and Footnotes"
2015.0;"Ireland";"Waste generated";"Kilograms per capita";":";
2014.0;"Ireland";"Waste generated";"Kilograms per capita";":";
2013.0;"Ireland";"Waste generated";"Kilograms per capita";":";
2012.0;"Ireland";"Waste generated";"Kilograms per capita";"587";
2011.0;"Ireland";"Waste generated";"Kilograms per capita";"617";
2010.0;"Ireland";"Waste generated";"Kilograms per capita";"624";
2009.0;"Ireland";"Waste generated";"Kilograms per capita";"651";
2008.0;"Ireland";"Waste generated";"Kilograms per capita";"718";
2007.0;"Ireland";"Waste generated";"Kilograms per capita";"772";
2006.0;"Ireland";"Waste generated";"Kilograms per capita";"792";
2005.0;"Ireland";"Waste generated";"Kilograms per capita";"731";
