"TIME";"GEO";"WST_OPER";"UNIT";"Value";"Flag and Footnotes"
2015.0;"Italy";"Composting and digestion";"Kilograms per capita";"86";
2014.0;"Italy";"Composting and digestion";"Kilograms per capita";"80";
2013.0;"Italy";"Composting and digestion";"Kilograms per capita";"72";
2012.0;"Italy";"Composting and digestion";"Kilograms per capita";"73";
2011.0;"Italy";"Composting and digestion";"Kilograms per capita";"67";
2010.0;"Italy";"Composting and digestion";"Kilograms per capita";"67";
2009.0;"Italy";"Composting and digestion";"Kilograms per capita";"59";
2008.0;"Italy";"Composting and digestion";"Kilograms per capita";"53";
2007.0;"Italy";"Composting and digestion";"Kilograms per capita";"44";
2006.0;"Italy";"Composting and digestion";"Kilograms per capita";"42";
2005.0;"Italy";"Composting and digestion";"Kilograms per capita";"38";
