"TIME";"GEO";"WST_OPER";"UNIT";"Value";"Flag and Footnotes"
2015.0;"Italy";"Landfill / disposal (D1-D7, D12)";"Kilograms per capita";"129";
2014.0;"Italy";"Landfill / disposal (D1-D7, D12)";"Kilograms per capita";"154";
2013.0;"Italy";"Landfill / disposal (D1-D7, D12)";"Kilograms per capita";"181";
2012.0;"Italy";"Landfill / disposal (D1-D7, D12)";"Kilograms per capita";"197";
2011.0;"Italy";"Landfill / disposal (D1-D7, D12)";"Kilograms per capita";"222";
2010.0;"Italy";"Landfill / disposal (D1-D7, D12)";"Kilograms per capita";"253";
2009.0;"Italy";"Landfill / disposal (D1-D7, D12)";"Kilograms per capita";"263";
2008.0;"Italy";"Landfill / disposal (D1-D7, D12)";"Kilograms per capita";"273";
2007.0;"Italy";"Landfill / disposal (D1-D7, D12)";"Kilograms per capita";"289";
2006.0;"Italy";"Landfill / disposal (D1-D7, D12)";"Kilograms per capita";"300";
2005.0;"Italy";"Landfill / disposal (D1-D7, D12)";"Kilograms per capita";"295";
