"TIME";"GEO";"WST_OPER";"UNIT";"Value";"Flag and Footnotes"
2015.0;"Italy";"Incineration / disposal (D10)";"Kilograms per capita";"51";
2014.0;"Italy";"Incineration / disposal (D10)";"Kilograms per capita";"0";
2013.0;"Italy";"Incineration / disposal (D10)";"Kilograms per capita";"0";
2012.0;"Italy";"Incineration / disposal (D10)";"Kilograms per capita";"0";
2011.0;"Italy";"Incineration / disposal (D10)";"Kilograms per capita";"1";
2010.0;"Italy";"Incineration / disposal (D10)";"Kilograms per capita";"1";
2009.0;"Italy";"Incineration / disposal (D10)";"Kilograms per capita";"0";
2008.0;"Italy";"Incineration / disposal (D10)";"Kilograms per capita";"1";
2007.0;"Italy";"Incineration / disposal (D10)";"Kilograms per capita";"0";
2006.0;"Italy";"Incineration / disposal (D10)";"Kilograms per capita";"1";
2005.0;"Italy";"Incineration / disposal (D10)";"Kilograms per capita";"1";
