"TIME";"GEO";"WST_OPER";"UNIT";"Value";"Flag and Footnotes"
2015.0;"Italy";"Material recycling";"Kilograms per capita";"126";
2014.0;"Italy";"Material recycling";"Kilograms per capita";"127";
2013.0;"Italy";"Material recycling";"Kilograms per capita";"122";
2012.0;"Italy";"Material recycling";"Kilograms per capita";"121";
2011.0;"Italy";"Material recycling";"Kilograms per capita";"120";
2010.0;"Italy";"Material recycling";"Kilograms per capita";"103";
2009.0;"Italy";"Material recycling";"Kilograms per capita";"102";
2008.0;"Italy";"Material recycling";"Kilograms per capita";"79";
2007.0;"Italy";"Material recycling";"Kilograms per capita";"95";
2006.0;"Italy";"Material recycling";"Kilograms per capita";"66";
2005.0;"Italy";"Material recycling";"Kilograms per capita";"64";
