"TIME";"GEO";"WST_OPER";"UNIT";"Value";"Flag and Footnotes"
2015.0;"Italy";"Waste generated";"Kilograms per capita";"486";
2014.0;"Italy";"Waste generated";"Kilograms per capita";"488";
2013.0;"Italy";"Waste generated";"Kilograms per capita";"491";
2012.0;"Italy";"Waste generated";"Kilograms per capita";"504";
2011.0;"Italy";"Waste generated";"Kilograms per capita";"529";
2010.0;"Italy";"Waste generated";"Kilograms per capita";"547";
2009.0;"Italy";"Waste generated";"Kilograms per capita";"543";
2008.0;"Italy";"Waste generated";"Kilograms per capita";"552";
2007.0;"Italy";"Waste generated";"Kilograms per capita";"557";
2006.0;"Italy";"Waste generated";"Kilograms per capita";"559";
2005.0;"Italy";"Waste generated";"Kilograms per capita";"546";
