"TIME","GEO","WST_OPER","UNIT","Value","Flag and Footnotes"
"2005","Austria","Landfill / disposal (D1-D7, D12)","Kilograms per capita","65","e"
"2006","Austria","Landfill / disposal (D1-D7, D12)","Kilograms per capita","59",""
"2007","Austria","Landfill / disposal (D1-D7, D12)","Kilograms per capita","51",""
"2008","Austria","Landfill / disposal (D1-D7, D12)","Kilograms per capita","45",""
"2009","Austria","Landfill / disposal (D1-D7, D12)","Kilograms per capita","36",""
"2010","Austria","Landfill / disposal (D1-D7, D12)","Kilograms per capita","18",""
"2011","Austria","Landfill / disposal (D1-D7, D12)","Kilograms per capita","27",""
"2012","Austria","Landfill / disposal (D1-D7, D12)","Kilograms per capita","25",""
"2013","Austria","Landfill / disposal (D1-D7, D12)","Kilograms per capita","23",""
"2014","Austria","Landfill / disposal (D1-D7, D12)","Kilograms per capita","23",""
"2015","Austria","Landfill / disposal (D1-D7, D12)","Kilograms per capita","17",""
"2005","Bosnia and Herzegovina","Landfill / disposal (D1-D7, D12)","Kilograms per capita",":",""
"2006","Bosnia and Herzegovina","Landfill / disposal (D1-D7, D12)","Kilograms per capita",":",""
"2007","Bosnia and Herzegovina","Landfill / disposal (D1-D7, D12)","Kilograms per capita",":",""
"2008","Bosnia and Herzegovina","Landfill / disposal (D1-D7, D12)","Kilograms per capita","317",""
"2009","Bosnia and Herzegovina","Landfill / disposal (D1-D7, D12)","Kilograms per capita","261",""
"2010","Bosnia and Herzegovina","Landfill / disposal (D1-D7, D12)","Kilograms per capita","271",""
"2011","Bosnia and Herzegovina","Landfill / disposal (D1-D7, D12)","Kilograms per capita","269",""
"2012","Bosnia and Herzegovina","Landfill / disposal (D1-D7, D12)","Kilograms per capita","227",""
"2013","Bosnia and Herzegovina","Landfill / disposal (D1-D7, D12)","Kilograms per capita","233",""
"2014","Bosnia and Herzegovina","Landfill / disposal (D1-D7, D12)","Kilograms per capita",":",""
"2015","Bosnia and Herzegovina","Landfill / disposal (D1-D7, D12)","Kilograms per capita",":",""
