"TIME";"GEO";"WST_OPER";"UNIT";"Value";"Flag and Footnotes"
2015.0;"Netherlands";"Landfill / disposal (D1-D7, D12)";"Kilograms per capita";"7";
2014.0;"Netherlands";"Landfill / disposal (D1-D7, D12)";"Kilograms per capita";"8";
2013.0;"Netherlands";"Landfill / disposal (D1-D7, D12)";"Kilograms per capita";"8";
2012.0;"Netherlands";"Landfill / disposal (D1-D7, D12)";"Kilograms per capita";"8";
2011.0;"Netherlands";"Landfill / disposal (D1-D7, D12)";"Kilograms per capita";"9";
2010.0;"Netherlands";"Landfill / disposal (D1-D7, D12)";"Kilograms per capita";"9";
2009.0;"Netherlands";"Landfill / disposal (D1-D7, D12)";"Kilograms per capita";"9";
2008.0;"Netherlands";"Landfill / disposal (D1-D7, D12)";"Kilograms per capita";"9";
2007.0;"Netherlands";"Landfill / disposal (D1-D7, D12)";"Kilograms per capita";"12";
2006.0;"Netherlands";"Landfill / disposal (D1-D7, D12)";"Kilograms per capita";"14";
2005.0;"Netherlands";"Landfill / disposal (D1-D7, D12)";"Kilograms per capita";"10";
