"TIME";"GEO";"WST_OPER";"UNIT";"Value";"Flag and Footnotes"
2015.0;"Netherlands";"Incineration / disposal (D10)";"Kilograms per capita";"6";
2014.0;"Netherlands";"Incineration / disposal (D10)";"Kilograms per capita";"6";
2013.0;"Netherlands";"Incineration / disposal (D10)";"Kilograms per capita";"6";
2012.0;"Netherlands";"Incineration / disposal (D10)";"Kilograms per capita";"7";
2011.0;"Netherlands";"Incineration / disposal (D10)";"Kilograms per capita";"43";
2010.0;"Netherlands";"Incineration / disposal (D10)";"Kilograms per capita";"110";
2009.0;"Netherlands";"Incineration / disposal (D10)";"Kilograms per capita";"239";
2008.0;"Netherlands";"Incineration / disposal (D10)";"Kilograms per capita";"247";
2007.0;"Netherlands";"Incineration / disposal (D10)";"Kilograms per capita";"199";
2006.0;"Netherlands";"Incineration / disposal (D10)";"Kilograms per capita";"199";
2005.0;"Netherlands";"Incineration / disposal (D10)";"Kilograms per capita";"202";
