"TIME";"GEO";"WST_OPER";"UNIT";"Value";"Flag and Footnotes"
2015.0;"Netherlands";"Material recycling";"Kilograms per capita";"129";
2014.0;"Netherlands";"Material recycling";"Kilograms per capita";"125";
2013.0;"Netherlands";"Material recycling";"Kilograms per capita";"126";
2012.0;"Netherlands";"Material recycling";"Kilograms per capita";"131";
2011.0;"Netherlands";"Material recycling";"Kilograms per capita";"137";
2010.0;"Netherlands";"Material recycling";"Kilograms per capita";"142";
2009.0;"Netherlands";"Material recycling";"Kilograms per capita";"144";
2008.0;"Netherlands";"Material recycling";"Kilograms per capita";"149";
2007.0;"Netherlands";"Material recycling";"Kilograms per capita";"146";
2006.0;"Netherlands";"Material recycling";"Kilograms per capita";"137";
2005.0;"Netherlands";"Material recycling";"Kilograms per capita";"131";
