"TIME";"GEO";"WST_OPER";"UNIT";"Value";"Flag and Footnotes"
2015.0;"Netherlands";"Waste generated";"Kilograms per capita";"523";
2014.0;"Netherlands";"Waste generated";"Kilograms per capita";"527";
2013.0;"Netherlands";"Waste generated";"Kilograms per capita";"526";
2012.0;"Netherlands";"Waste generated";"Kilograms per capita";"549";
2011.0;"Netherlands";"Waste generated";"Kilograms per capita";"568";
2010.0;"Netherlands";"Waste generated";"Kilograms per capita";"571";
2009.0;"Netherlands";"Waste generated";"Kilograms per capita";"589";
2008.0;"Netherlands";"Waste generated";"Kilograms per capita";"600";
2007.0;"Netherlands";"Waste generated";"Kilograms per capita";"606";
2006.0;"Netherlands";"Waste generated";"Kilograms per capita";"597";
2005.0;"Netherlands";"Waste generated";"Kilograms per capita";"599";
