"TIME";"GEO";"WST_OPER";"UNIT";"Value";"Flag and Footnotes"
2015.0;"Norway";"Composting and digestion";"Kilograms per capita";"70";
2014.0;"Norway";"Composting and digestion";"Kilograms per capita";"68";
2013.0;"Norway";"Composting and digestion";"Kilograms per capita";"78";
2012.0;"Norway";"Composting and digestion";"Kilograms per capita";"66";
2011.0;"Norway";"Composting and digestion";"Kilograms per capita";"73";
2010.0;"Norway";"Composting and digestion";"Kilograms per capita";"73";
2009.0;"Norway";"Composting and digestion";"Kilograms per capita";"74";
2008.0;"Norway";"Composting and digestion";"Kilograms per capita";"72";
2007.0;"Norway";"Composting and digestion";"Kilograms per capita";"73";
2006.0;"Norway";"Composting and digestion";"Kilograms per capita";"62";
2005.0;"Norway";"Composting and digestion";"Kilograms per capita";"55";
