"TIME";"GEO";"WST_OPER";"UNIT";"Value";"Flag and Footnotes"
2015.0;"Norway";"Landfill / disposal (D1-D7, D12)";"Kilograms per capita";"14";
2014.0;"Norway";"Landfill / disposal (D1-D7, D12)";"Kilograms per capita";"12";
2013.0;"Norway";"Landfill / disposal (D1-D7, D12)";"Kilograms per capita";"10";
2012.0;"Norway";"Landfill / disposal (D1-D7, D12)";"Kilograms per capita";"9";
2011.0;"Norway";"Landfill / disposal (D1-D7, D12)";"Kilograms per capita";"11";
2010.0;"Norway";"Landfill / disposal (D1-D7, D12)";"Kilograms per capita";"28";
2009.0;"Norway";"Landfill / disposal (D1-D7, D12)";"Kilograms per capita";"67";
2008.0;"Norway";"Landfill / disposal (D1-D7, D12)";"Kilograms per capita";"87";
2007.0;"Norway";"Landfill / disposal (D1-D7, D12)";"Kilograms per capita";"92";
2006.0;"Norway";"Landfill / disposal (D1-D7, D12)";"Kilograms per capita";"84";
2005.0;"Norway";"Landfill / disposal (D1-D7, D12)";"Kilograms per capita";"77";
