"TIME";"GEO";"WST_OPER";"UNIT";"Value";"Flag and Footnotes"
2015.0;"Norway";"Material recycling";"Kilograms per capita";"110";
2014.0;"Norway";"Material recycling";"Kilograms per capita";"110";
2013.0;"Norway";"Material recycling";"Kilograms per capita";"116";
2012.0;"Norway";"Material recycling";"Kilograms per capita";"124";
2011.0;"Norway";"Material recycling";"Kilograms per capita";"121";
2010.0;"Norway";"Material recycling";"Kilograms per capita";"125";
2009.0;"Norway";"Material recycling";"Kilograms per capita";"128";
2008.0;"Norway";"Material recycling";"Kilograms per capita";"140";
2007.0;"Norway";"Material recycling";"Kilograms per capita";"136";
2006.0;"Norway";"Material recycling";"Kilograms per capita";"123";
2005.0;"Norway";"Material recycling";"Kilograms per capita";"112";
