"TIME";"GEO";"WST_OPER";"UNIT";"Value";"Flag and Footnotes"
2015.0;"Norway";"Waste generated";"Kilograms per capita";"421";
2014.0;"Norway";"Waste generated";"Kilograms per capita";"423";
2013.0;"Norway";"Waste generated";"Kilograms per capita";"496";
2012.0;"Norway";"Waste generated";"Kilograms per capita";"477";
2011.0;"Norway";"Waste generated";"Kilograms per capita";"485";
2010.0;"Norway";"Waste generated";"Kilograms per capita";"469";
2009.0;"Norway";"Waste generated";"Kilograms per capita";"470";
2008.0;"Norway";"Waste generated";"Kilograms per capita";"487";
2007.0;"Norway";"Waste generated";"Kilograms per capita";"491";
2006.0;"Norway";"Waste generated";"Kilograms per capita";"459";
2005.0;"Norway";"Waste generated";"Kilograms per capita";"426";
