"TIME";"GEO";"WST_OPER";"UNIT";"Value";"Flag and Footnotes"
2015.0;"Austria";"Composting and digestion";"Kilograms per capita";175.0;
2015.0;"Switzerland";"Composting and digestion";"Kilograms per capita";151.0;
2015.0;"Denmark";"Composting and digestion";"Kilograms per capita";150.0;
2015.0;"Netherlands";"Composting and digestion";"Kilograms per capita";142.0;
2015.0;"Luxembourg";"Composting and digestion";"Kilograms per capita";124.0;"e"
2015.0;"Germany (until 1990 former territory of the FRG)";"Composting and digestion";"Kilograms per capita";114.0;"e"
2015.0;"France";"Composting and digestion";"Kilograms per capita";87.0;"e"
2015.0;"Italy";"Composting and digestion";"Kilograms per capita";86.0;
2015.0;"Belgium";"Composting and digestion";"Kilograms per capita";80.0;
2015.0;"United Kingdom";"Composting and digestion";"Kilograms per capita";79.0;
2015.0;"European Union (28 countries)";"Composting and digestion";"Kilograms per capita";78.0;"s"
2015.0;"Spain";"Composting and digestion";"Kilograms per capita";71.0;"e"
2015.0;"Norway";"Composting and digestion";"Kilograms per capita";70.0;
2015.0;"Sweden";"Composting and digestion";"Kilograms per capita";70.0;
2015.0;"Finland";"Composting and digestion";"Kilograms per capita";62.0;
2015.0;"Lithuania";"Composting and digestion";"Kilograms per capita";46.0;
2015.0;"Poland";"Composting and digestion";"Kilograms per capita";46.0;"e"
2015.0;"Bulgaria";"Composting and digestion";"Kilograms per capita";43.0;
2015.0;"Iceland";"Composting and digestion";"Kilograms per capita";42.0;
2015.0;"Slovenia";"Composting and digestion";"Kilograms per capita";34.0;"e"
2015.0;"Cyprus";"Composting and digestion";"Kilograms per capita";30.0;"e"
2015.0;"Latvia";"Composting and digestion";"Kilograms per capita";24.0;
2015.0;"Slovakia";"Composting and digestion";"Kilograms per capita";24.0;
2015.0;"Hungary";"Composting and digestion";"Kilograms per capita";23.0;
2015.0;"Romania";"Composting and digestion";"Kilograms per capita";18.0;
2015.0;"Czech Republic";"Composting and digestion";"Kilograms per capita";13.0;"e"
2015.0;"Estonia";"Composting and digestion";"Kilograms per capita";13.0;
2015.0;"Greece";"Composting and digestion";"Kilograms per capita";12.0;
2015.0;"Croatia";"Composting and digestion";"Kilograms per capita";7.0;
2015.0;"Turkey";"Composting and digestion";"Kilograms per capita";2.0;"e"
2015.0;"Montenegro";"Composting and digestion";"Kilograms per capita";0.0;
2015.0;"Malta";"Composting and digestion";"Kilograms per capita";0.0;
2015.0;"Serbia";"Composting and digestion";"Kilograms per capita";0.0;
